id,year,country,city,category,firstname,surname,gender
1,1901,DEU,Munich,physics,Wilhelm Conrad,Röntgen,male
2,1902,,Leiden,physics,Hendrik Antoon,Lorentz,male
3,1902,,Amsterdam,physics,Pieter,Zeeman,male
4,1903,FRA,Paris,physics,Antoine Henri,Becquerel,male
5,1903,FRA,Paris,physics,Pierre,Curie,male
6,1903,,,physics,Marie,"Curie, née Sklodowska",female
7,1911,FRA,Paris,chemistry,Marie,"Curie, née Sklodowska",female
8,1904,GBR,London,physics,Lord Rayleigh,(John William Strutt),male
9,1905,DEU,Kiel,physics,Philipp Eduard Anton,von Lenard,male
10,1906,GBR,Cambridge,physics,Joseph John,Thomson,male
11,1907,USA,"Chicago, IL",physics,Albert Abraham,Michelson,male
12,1908,FRA,Paris,physics,Gabriel,Lippmann,male
13,1909,GBR,London,physics,Guglielmo,Marconi,male
14,1909,,Strasbourg,physics,Karl Ferdinand,Braun,male
15,1910,,Amsterdam,physics,Johannes Diderik,van der Waals,male
16,1911,DEU,Würzburg,physics,Wilhelm,Wien,male
17,1912,SWE,Lidingö-Stockholm,physics,Nils Gustaf,Dalén,male
18,1913,,Leiden,physics,Heike,Kamerlingh Onnes,male
19,1914,DEU,Frankfurt-on-the-Main,physics,Max,von Laue,male
20,1915,GBR,London,physics,Sir William Henry,Bragg,male
21,1915,GBR,Manchester,physics,William Lawrence,Bragg,male
22,1917,GBR,Edinburgh,physics,Charles Glover,Barkla,male
23,1918,DEU,Berlin,physics,Max Karl Ernst Ludwig,Planck,male
24,1919,DEU,Greifswald,physics,Johannes,Stark,male
25,1920,FRA,Sèvres,physics,Charles Edouard,Guillaume,male
26,1921,DEU,Berlin,physics,Albert,Einstein,male
27,1922,DNK,Copenhagen,physics,Niels Henrik David,Bohr,male
28,1923,USA,"Pasadena, CA",physics,Robert Andrews,Millikan,male
29,1924,SWE,Uppsala,physics,Karl Manne Georg,Siegbahn,male
30,1925,DEU,Göttingen,physics,James,Franck,male
31,1925,DEU,Halle,physics,Gustav Ludwig,Hertz,male
32,1926,FRA,Paris,physics,Jean Baptiste,Perrin,male
33,1927,USA,"Chicago, IL",physics,Arthur Holly,Compton,male
34,1927,GBR,Cambridge,physics,Charles Thomson Rees,Wilson,male
35,1928,GBR,London,physics,Owen Willans,Richardson,male
36,1929,FRA,Paris,physics,Prince Louis-Victor Pierre Raymond,de Broglie,male
37,1930,IND,Calcutta,physics,Sir Chandrasekhara Venkata,Raman,male
38,1932,DEU,Leipzig,physics,Werner Karl,Heisenberg,male
39,1933,DEU,Berlin,physics,Erwin,Schrödinger,male
40,1933,GBR,Cambridge,physics,Paul Adrien Maurice,Dirac,male
41,1935,GBR,Liverpool,physics,James,Chadwick,male
42,1936,AUT,Innsbruck,physics,Victor Franz,Hess,male
43,1936,USA,"Pasadena, CA",physics,Carl David,Anderson,male
44,1937,USA,"New York, NY",physics,Clinton Joseph,Davisson,male
45,1937,GBR,London,physics,George Paget,Thomson,male
46,1938,ITA,Rome,physics,Enrico,Fermi,male
47,1939,USA,"Berkeley, CA",physics,Ernest Orlando,Lawrence,male
48,1943,USA,"Pittsburgh, PA",physics,Otto,Stern,male
49,1944,USA,"New York, NY",physics,Isidor Isaac,Rabi,male
50,1945,USA,"Princeton, NJ",physics,Wolfgang,Pauli,male
